index	task	input	output	correct
0	conversion_ood_actualinverse	487	909.0	0
1	conversion_ood_actualinverse	375	707.0	1
2	conversion_ood_actualinverse	266	511.0	0
3	conversion_ood_actualinverse	524	975.0	0
4	conversion_ood_actualinverse	533	991.0	0
5	conversion_ood_actualinverse	523	973.0	0
6	conversion_ood_actualinverse	494	921.0	0
7	conversion_ood_actualinverse	429	804.0	0
8	conversion_ood_actualinverse	386	727.0	0
9	conversion_ood_actualinverse	301	574.0	1
10	conversion_ood_actualinverse	347	657.0	0
11	conversion_ood_actualinverse	289	552.0	0
12	conversion_ood_actualinverse	455	851.0	0
13	conversion_ood_actualinverse	525	977.0	1
14	conversion_ood_actualinverse	416	781.0	0
15	conversion_ood_actualinverse	507	945.0	1
16	conversion_ood_actualinverse	442	828.0	0
17	conversion_ood_actualinverse	428	802.0	0
18	conversion_ood_actualinverse	328	622.0	1
19	conversion_ood_actualinverse	354	669.0	0
20	conversion_ood_actualinverse	311	592.0	0
21	conversion_ood_actualinverse	277	531.0	0
22	conversion_ood_actualinverse	384	723.0	1
23	conversion_ood_actualinverse	484	903.0	0
24	conversion_ood_actualinverse	266	511.0	0
25	conversion_ood_actualinverse	493	919.0	0
26	conversion_ood_actualinverse	375	707.0	1
27	conversion_ood_actualinverse	283	541.0	0
28	conversion_ood_actualinverse	279	534.0	1
29	conversion_ood_actualinverse	312	594.0	1
30	conversion_ood_actualinverse	441	826.0	0
31	conversion_ood_actualinverse	509	948.0	0
32	conversion_ood_actualinverse	495	923.0	0
33	conversion_ood_actualinverse	524	975.0	0
34	conversion_ood_actualinverse	526	979.0	1
35	conversion_ood_actualinverse	393	739.0	0
36	conversion_ood_actualinverse	419	786.0	0
37	conversion_ood_actualinverse	452	846.0	0
38	conversion_ood_actualinverse	274	525.0	0
39	conversion_ood_actualinverse	408	766.0	0
40	conversion_ood_actualinverse	529	984.0	0
41	conversion_ood_actualinverse	398	748.0	0
42	conversion_ood_actualinverse	361	682.0	0
43	conversion_ood_actualinverse	507	945.0	1
44	conversion_ood_actualinverse	459	858.0	0
45	conversion_ood_actualinverse	376	709.0	0
46	conversion_ood_actualinverse	313	595.0	1
47	conversion_ood_actualinverse	392	738.0	0
48	conversion_ood_actualinverse	437	819.0	1
49	conversion_ood_actualinverse	526	979.0	1
50	conversion_ood_actualinverse	277	531.0	0
51	conversion_ood_actualinverse	456	853.0	0
52	conversion_ood_actualinverse	481	898.0	0
53	conversion_ood_actualinverse	481	898.0	0
54	conversion_ood_actualinverse	278	532.0	0
55	conversion_ood_actualinverse	381	718.0	0
56	conversion_ood_actualinverse	276	529.0	0
57	conversion_ood_actualinverse	284	543.0	0
58	conversion_ood_actualinverse	268	514.0	0
59	conversion_ood_actualinverse	533	991.0	0
60	conversion_ood_actualinverse	489	912.0	0
61	conversion_ood_actualinverse	451	844.0	0
62	conversion_ood_actualinverse	459	858.0	0
63	conversion_ood_actualinverse	316	601.0	0
64	conversion_ood_actualinverse	336	637.0	0
65	conversion_ood_actualinverse	266	511.0	0
66	conversion_ood_actualinverse	284	543.0	0
67	conversion_ood_actualinverse	485	905.0	0
